一一 , 表一個接一個沒有間斷。
下降 , 數量或數目減少。
下降 , 物體由較高處往低處垂直移動。
下降 , 狀態的等級或地位降低。
下 , 離開後述處所，並結束該場所的典型活動。
下雨 , 雲層的水以水滴的形態降到地上。
下 , 雲層的水以特定形態降到地上。
下面 , 位置詞。同一物體內較低的部份。
下面 , 位置詞。在鏡頭檢視內的範圍。
下面 , 位置詞。比喻受到前述事物的負面影響的範圍。
下面 , 位置詞。比喻在參考點之後的文本順序。
下面 , 位置詞。比喻地位或等級較低的人物。
下面 , 位置詞。比喻數量較少的方向。
下面 , 位置詞。比喻程度較少的方向。
下面 , 位置詞。比喻階級架構中低於前述階級的階級。
下面 , 位置詞。比喻階級架構較低的方向。
下面 , 位置詞。比喻順序較後的方向。
下面 , 位置詞。被前述物體覆蓋住的物體的位置。
下面 , 位置詞。較低的或與天相反的方向。
下面 , 位置詞。鄰近前述物體的底部或低於該物體位置。
不一定 , 形容事件帶不確定性。
不下 , 形容狀態維持在固定程度不降低。
不下 , 表前述對象的數量不少於後述數量。
不予置評 , 不做任何評論。
不以為忤 , 形容不在意前述可能有損自己權益的事件。
不以為然 , 不贊成前述的作法。
不以為然 , 認為前述陳述錯誤。
不但 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不便 , 形容困難或無法達到使用目的。
不便 , 形容委婉表達主事者有所顧忌。
不便 , 形容比喻沒有多餘可應用的金錢，常與「手頭」連用。
不停 , 形容事件持續進行。
不僅 , 表超過後述數目。
不僅 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不光 , 表超過後述數目。
不光 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不免 , 表後述情形是不可避免的。
不公 , 形容情況不公平、不公正。
不再 , 形容前述狀態已改變而不存在。
不再 , 表強調事件不繼續。
不利 , 有壞處，常會造成傷害或損失。
不到 , 事件的歷程沒有達到特定時段的長度。
不到 , 引介動作或狀態沒有達到特定程度。通常與「哪裡」、「多少」連用，表程度不高於已知的特定對象
不到 , 時間沒有達到特定參考時點。
不到 , 沒有達到後述數量。
不及 , 形容沒有足夠的時間進行後述事件。
不及 , 沒有達到比較對象的標準。
不只 , 表超過後述數目。
不只 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不可以 , 表不允許後述事件發生。
不可以 , 表不具事件成立的合理條件。
不可 , 形容前述對象是必要的條件。常用「非…不可」。
不可或缺 , 形容不能缺少的。
不可能 , 形容不會實現的。
不可能 , 表不會成為事實或不是事實。
不可 , 表不應該。
不同 , 形容有差別的。
不啻 , 表肯定是。
不啻 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不單 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不 , 地方詞。不丹。「不丹」的縮寫。
不堪 , 形容令人完全無法承受的。
不堪 , 表極度到無法承受的地步。
不外 , 表不超出特定範圍之外。
不多不少 , 數量和預期吻合。
不多不少 , 數量適中。
不大 , 表做後述動作的次數少或程度低。
不大 , 表否定的委婉說法，同時表示否定的程度不高。
不失為 , 勉強可以符合後述描述。
不好意思 , 表達歉意的用語。
不好意思 , 造成他人不便或請求他人協助時的禮貌用語。
不如 , 沒有達到比較對象的標準。
不如 , 關聯連接詞。連接說話者主觀認為比前述對象更好的後述對象。
不妨 , 表建議聽話者做後述事件。
不宜 , 不妥當、不適合。
不客氣 , 不遵守應有的謙讓禮儀
不客氣 , 回應他人對自己謝意的禮貌用語。
不容 , 不允許後述事件發生。
不容 , 不被後述對象接納。常用「不容於…」。
不實 , 形容為人不實在。
不實 , 形容與事實不符。
不少 , 具有相當的數量。
不少 , 形容有相當的數量。
不屑一顧 , 因不起眼而不注意看。
不屑一顧 , 拒絕給予注意。
不屑 , 形容看不起前述對象。
不屑 , 認為不值得去做而沒做。
不已 , 形容事件持續進行。
不已 , 形容前述情感持續表現。
不幸 , 形容運氣不好。
不幸 , 普通名詞。因運氣不好而發生的事，多會造成傷害或損失。
不幸 , 表發生運氣不好或與期望相反的事，帶有遺憾的意思。
不得不 , 表無可選擇但必須要做的。
不得而知 , 沒有辦法可以知道。
不得 , 表不可以。
不必 , 不，用於強烈拒絕。
不必 , 表不須要。
不忠 , 形容做出背叛特定對象的事。
不悅 , 因外在因素影響而不高興。
不惜 , 不顧一切、不計後果。
不捨 , 形容動作延續不中斷。
不捨 , 形容因愛惜而無法放棄。
不料 , 表後述事件不在預期之中發生。
不斷 , 形容事件持續進行。
不易 , 形容後述事件發生的可能性小。
不易 , 形容特定事件無法輕易達成。
不時 , 表出現的間隔頻率隔不確定。
不會 , 提醒語。用於表達對於他人的請求樂意幫忙，不覺得麻煩。
不止 , 形容事件持續進行。
不止 , 表超過後述數目。
不止 , 連接兩個以上程度漸進的選項，常與「也」、「還」、「而且」、「並且」連用。
不法 , 形容不符合法律規定的。
不法 , 普通名詞。不法的行為。
不消說 , 句副詞。表不需要說明即可明白。
不消說 , 句副詞。表對事件的最低期望。
不清 , 形容內容缺乏明確的定義或解釋。
不清 , 形容關係無法切斷。
不滿 , 對特定對象不滿意而感到不高興。
不然 , 形容否定前述事件，表「不是這樣」。
不然 , 關聯連接詞。連接前述事件不成立之下所得的推論。
不然 , 關聯連接詞。連接另做選擇的轉折語，帶有讓步的語氣。
不甘示弱 , 形容不願意在情勢上輸人。
不用 , 表不須要。
不用 , 表即使進行後述事件也無法達到預期效果。
不用說 , 句副詞。表不需要說明即可明白。
不用說 , 句副詞。表對事件的最低期望。
不由自主 , 表自然產生，無法克制。
不盡 , 形容前述事件因對象的數量多或規模大而持續不能終止。
不盡然 , 形容前述論述不完全正確。
不盡然 , 表後述情形不完全成立。
不盡 , 表否定的委婉說法，同時表示離肯定已經很接近。
不知不覺 , 表在沒有主動意識下發生。
不知不覺 , 表沒有察覺到。
不知所措 , 形容不知道怎麼辦才好。
不禁 , 表自然產生，無法克制。
不符 , 與所訂的要求、條件不一致。
不等 , 不相等。
不管 , 關聯連接詞。連接任意的條件，表雖然條件不同但結果相同。
不約而同 , 表彼此沒有事先約定，但意見或行為卻相同。
不經意 , 表在沒有特別注意的狀況下發生。
不置可否 , 不明確表示同意或反對。
不聞不問 , 對他人的言語或行為應該有回應卻不表示任何態度或意見。
不能 , 表不允許後述事件發生。
不能 , 表不具備完成特定事件能力。
不能 , 表不具備達到後述事件成立的條件。
不自覺 , 在沒有主動意識下做後述事件。
不自覺 , 自己沒有察覺到。
不致於 , 表不會達到後述負面結果。
不致 , 表不會達到後述負面結果。
不良 , 形容對特定對象的評價是負面的。
不行 , 形容不具備完成特定事件能力的。
不行 , 表程度高，帶有誇張語氣。
不 , 表否定，用在動詞、狀態形容詞與副詞前。
不 , 表疑問的語氣，置於句末。
不要 , 表不須要。
不要 , 表即使進行後述事件也無法達到預期效果。
不要 , 表心中存有不完成後述事件的願望。
不要 , 表禁止
不見得 , 形容事件帶不確定性。
不覺 , 後述事件在沒有主動意識下發生，出於自然而非做作。
不覺 , 後述心理感知在沒有主動意識下發生，不在預期之中。
不覺 , 沒有察覺到情況變化。
不解 , 不懂所描述的事件。
不解 , 形容無法解開。
不解 , 普通名詞。「不諒解」的簡省。
不許 , 不允許後述事件發生。
不論 , 關聯連接詞。連接任意的條件，表雖然條件不同但結果相同。
不起眼 , 形容不重要而不引人注意。
不起眼 , 形容視覺上不引人注目。
不足 , 形容數量不夠多，未達到主觀標準。
不足 , 形容程度不夠高，未達到主觀標準。
不足 , 普通名詞。不夠好的特質。
不過 , 表對後述事物做評估，表示比預期小或少。
不過 , 表連接句子的轉折語氣，用來引出命題和前文相對的句子。
不過 , 評價修飾前面述詞的程度等級，表程度相當高。常用「再…不過」。
不遠千里 , 評價事件參與者的熱忱，表不以路途遙遠為苦。
不遺餘力 , 毫無保留地投入全部的心力。
不錯 , 形容對特定對象的評價是正面的。
不錯 , 形容正確的。
不顧 , 不理會。
丐 , 以低姿態請求他人給予金錢或特定事物。
丐 , 普通名詞。靠以低姿態請求他人給予食物或金錢維生的人。
丑 , 專有名詞。姓。
丑 , 普通名詞。中國傳統戲曲角色之一，為滑稽可笑的喜劇角色。常用接尾詞。
丑 , 普通名詞。在表演中，以詼諧逗趣的方式演出的人。
丑 , 普通名詞。地支的第二位。
且 , 對等連接詞。連接兩對等詞組，表兩種狀況同時存在。
且 , 表暫時退讓。
且 , 關聯連接詞。連接兩對等句子，表示進一層關係。
世 , 專有名詞。姓。
世 , 接頭詞。形容世代相傳的身份或頭銜。
世 , 接頭詞。形容非親屬關係中已有好幾代交情的。
世 , 普通名詞。同一靈性存在物在轉世輪迴中的先後順序。
世 , 普通名詞。地質年代分類單位的一種，在紀之下，期之上。常用接尾詞。
世 , 普通名詞。宗族關係中所有與其始祖的距離相同的人所組成的團體。
世 , 普通名詞。所描述的前述時代。
世 , 普通名詞。接尾詞。外國人命名系統中沿用祖先名字時，用於區分前後順序的指稱。
世界 , 地方詞。俗世、塵世。
世界 , 地方詞。地球上的所有地方。
世界 , 地方詞。對跨越不同國家，屬於共同屬性的合稱。
世界 , 地方詞。由空間、時間、物質、能量所構成的統一體，通常指空間。
世界 , 地方詞。自然界一切事物的總合。
世界 , 普通名詞。全體人類社會。
世界 , 普通名詞。自成體系的組織或現象。
世界 , 表比較之後屬性超過所有其他同類的對象。
世紀 , 普通名詞。時間的單位，一世紀為一百年。
世紀 , 普通名詞。歷史上依特定標準而劃分的特定時段。
世襲 , 承接世代相傳的身份或頭銜。
世 , 計算一次轉世輪迴的單位。
世 , 計算宗族關係中所有與其始祖的距離相同的人所組成的團體的單位。
丘 , 專有名詞。中國春秋時代思想家，儒家思想的開創者，後世尊稱為至聖先師，本名孔丘。
丘 , 普通名詞。土石形成的地面上的小型隆起地形。
丘 , 普通名詞。埋葬死者的場所。
丘 , 普通名詞。接尾詞。比喻大量特定對象堆積在特定地點所形成的形狀像丘的集合體。
丘 , 計算墳墓的單位。
丙 , 代指沒有指名的對象中的第三個。
丙 , 普通名詞。五等第中，成績第三的一等。
丙 , 普通名詞。天干的第三位。
丟 , 丟掉廢棄物。
丟 , 主事者用手施力使特定物體離開手部往施力方向運動。
丟 , 失去後述對象，通常用於工作或職位。
丟掉 , 將不需要或不想要的事物拋下、扔掉。
丟掉 , 形容找尋不到特定物品的狀態。
丟掉 , 後述對象從有到無。
丟棄 , 將不需要或不想要的事物拋下、扔掉。
丟 , 用眼神傳送訊息。
並且 , 對等連接詞。連接兩個對等句子，用以表示時序先後關係。
並且 , 對等連接詞。連接兩個對等句子，用以表示進一層關係。
並列 , 不分前後的水平排列。
並列 , 形容結構具有相同的成分而且排列出現的。
並列 , 排名或地位不分前後或主次。
並用 , 同時使用前述兩項事物。
並行 , 並排前進。
並行 , 兩個以上的事件同時進行。
並 , 表加強否定的語氣，通常與預設知識相反。
並重 , 形容給予前述兩者以上的對象同樣的重視。
並 , 關聯連接詞。連接兩對等句子，表示進一層關係。
丫 , 普通名詞。特定物體末端分岔的部位。
中介 , 事件名詞。居於兩方或兩方以上之間，具協調或聯繫的作用。
中介 , 形容協調或聯繫兩方或兩方以上，使其產生關係的。
中 , 位置詞。事物分成三部份時，不在兩端的部份。
中 , 位置詞。在前述對象所包含的空間範圍。
中 , 位置詞。在前述的機構或領域範圍。
中 , 位置詞。空間範圍與各端點距離大約相等的位置。
中 , 位置詞。順序不在兩端的部份。
中共 , 專有名詞。中國的第一大黨，在中國地區依照馬克思列寧主義所建立的無產階級政黨。「中國共產黨」的縮寫。
中共 , 專有名詞。代表中華人民共和國政府。
中古 , 形容曾經被他人使用後轉手賣出的。
中古 , 時間詞。一般指中國自秦漢至唐宋的時期，或指魏晉南北朝至宋元期間。
中古 , 時間詞。歐洲自西羅馬帝國滅亡到文藝復興興起的時期。
中 , 因他人的惡意設計而受到負面影響。
中國 , 地方詞。國名，位於亞洲東部的國家，東瀕太平洋，北臨俄國，是世界上人口最多的國家。
中國 , 專有名詞。治理中國的政府。
中國時報 , 地方詞。中國時報的建築物及建築物所在的位置。
中國時報 , 專有名詞。中國時報出版的報紙。
中國時報 , 專有名詞。臺灣的一家報社，民國三十九年由余紀忠創辦，是臺灣的全國性報紙之一。
中國 , 普通名詞。中華民族的文化。
中國電視公司 , 地方詞。中國電視公司的建築物及建築物所在的位置。
中國電視公司 , 普通名詞。中國電視公司所擁有的頻道。
中國電視公司 , 普通名詞。臺灣無線電視網之一，由中國國民黨創立。
中 , 地方詞。位於臺灣島的國家，轄區包含臺灣、澎湖、金門、馬祖。
中 , 地方詞。國名，位於亞洲東部的國家，東瀕太平洋，北臨俄國，是世界上人口最多的國家。
中 , 地方詞。空間範圍內包含參考點的區域。
中 , 地方詞。臺灣地名，位於臺灣中部，介於苗栗縣、彰化縣之間的地區。「台中」的簡省。
中外 , 地方詞。中國和中國以外的國家。
中外 , 地方詞。臺灣和臺灣以外的國家。
中央 , 位置詞。空間範圍與各端點距離大約相等的位置。
中央 , 地方詞。中央大學的建築物及建築物所在的位置。「中央大學」的縮寫。
中央 , 專有名詞。臺灣國立大學之一，位於桃園縣。「中央大學」的縮寫。
中央 , 形容屬於最高行政機構的。
中央 , 普通名詞。最高行政機構，相對於地方政府。
中學 , 地方詞。中學的建築物及建築物所在的位置。
中學 , 普通名詞。中國傳統學術。
中學 , 普通名詞。介於國民小學和大學之間等級的學校，包括國中和高中。
中山 , 地方詞。中山大學的建築物及建築所在的位置。「中山大學」的縮寫。
中山 , 地方詞。中山女中的建築物及建築所在的位置。「中山女子高級中學」的縮寫。
中山 , 專有名詞。中國革命家，推翻滿清建立中華民國。
中山 , 專有名詞。臺北市立高中之一，位於中山區。「中山女子高級中學」的縮寫。
中山 , 專有名詞。臺灣國立大學之一，位於高雄市鼓山區。「中山大學」的縮寫。
中式 , 形容形式、風格上屬於中國或來自於中國的。
中 , 形容功能接近標準或平均的。
中 , 形容接近標準或平均的距離長度的。
中 , 從施力來源使投擲物經過運動路徑到達目標。
中心 , 位置詞。具有重要地位或特定特質的區域。
中心 , 位置詞。空間範圍與各端點距離大約相等的位置。
中心 , 地方詞。具有特定設備，提供特定資源的機構或單位的建築物及建築物所在的位置。
中心 , 普通名詞。具有特定設備，提供特定資源的機構或單位。
中心 , 普通名詞。比喻特定對象的重要核心部份。
中性 , 形容事物不具極端特質。
中性 , 形容標誌性(gender)的語言中非陽性或陰性的詞彙。
中性 , 形容無電荷的。
中性 , 形容生物外型不帶有明顯的雄性或雌性特徵。
中性 , 形容立場不傾向於任何一方。
中性 , 形容膚質油脂分泌正常，不偏乾性或油性。
中性 , 形容詞彙不帶有褒貶色彩。
中性 , 普通名詞。酸鹼平衡的特性。
中 , 接近或配合後述對象的預期。
中文 , 普通名詞。中華民族的主要通用語文，為中國大陸、臺灣、新加坡的官方語言。
中文 , 普通名詞。大學中教授中文知識的教學研究單位。中文系所的簡省。
中斷 , 中途停止或斷絕。
中旬 , 時間詞。一個月中間的十天。
中 , 時態標記。表持續狀態。常用「(正)在…中」。
中 , 時間範圍分三階段時，不屬於兩端點的時段。
中 , 普通名詞。「中年」的簡省，年齡在四十到六十歲間。
中 , 普通名詞。中華民族的主要通用語文，為中國大陸、臺灣、新加坡的官方語言。
中 , 普通名詞。中華民族的文化。
中 , 普通名詞。人心。
中 , 普通名詞。在特定領域中，累積足夠經歷正在承擔主要工作的一輩。
中 , 普通名詞。大學中教授中文知識的教學研究單位。中文系所的簡省。
中 , 普通名詞。接近標準或平均的時段長度。
中 , 普通名詞。接近標準或平均的規模大小。
中 , 普通名詞。等級不在兩端的部份。
中 , 普通名詞。階段不在兩端的部份。
中 , 普通名詞。麻將中的牌面，為三種箭牌之一。
中東 , 地方詞。歐、亞、非洲交會的地區，包括伊拉克、敘利亞、約旦、黎巴嫩、以色列、土耳其、埃及、蘇丹等國。
中正 , 地方詞。中正大學的建築物及建築物所在的位置。「中正大學」的縮寫。
中正 , 地方詞。桃園中正國際機場的建築物及建築物所在的位置。「桃園中正國際機場」的縮寫。同義詞「中正國際機場」、「臺灣桃園國際機場」。
中正 , 專有名詞。臺灣國立大學之一，位於嘉義縣民雄鄉。「中正大學」的縮寫。
中正 , 專有名詞。臺灣第一個現代化的國際機場，位於桃園縣大園鄉，為十大建設之一，2007年更名為「台灣桃園國際機場」。「桃園中正國際機場」的縮寫。同義詞「中正國際機場」、「臺灣桃園國際機場」。
中正 , 專有名詞。近代中國政治家、軍事家，名中正，字介石，民國三十七年當選中華民國首任總統，民國三十八年帶領國民黨播遷到臺灣。
中正 , 形容符合規範的。
中正 , 形容處理事情合情理，不偏袒任何一方的。
中正 , 普通名詞。官名，三國魏所設立的官職，代表特定對象的出身貴賤。
中正 , 普通名詞。官名，秦末陳勝自立為楚王時所置的官職，主掌糾察群臣的過失。
中毒 , 接觸到危害身體健康的物質而產生不良反應。
中毒 , 比喻受到特定對象的深入影響而強烈支持或喜愛該對象。
中毒 , 電腦遭到一種會不斷自動複製的程式破壞。
中油 , 地方詞。中油的建築物及建築物所在的位置。「中國石油股份有限公司」的縮寫。
中油 , 專有名詞。中油所資助的特定團體。
中油 , 專有名詞。臺灣的石油公司之一，為政府所投資的國營事業。「中國石油股份有限公司」的縮寫。
中油 , 普通名詞。中油所販售的產品，通常為交通工具的燃料。
中產階級 , 普通名詞。介於上層和下層社會之間的社會階級。
中 , 空間範圍分三部份時，不屬於兩端點的高度。
中等 , 形容中學的。
中等 , 形容普遍而非極端的。
中華 , 地方詞。位於臺灣島的國家，轄區包含臺灣、澎湖、金門、馬祖，特別用於必須與中國區分但又不能用「臺灣」時。
中華 , 普通名詞。中華民族的文化。
中華 , 普通名詞。發源於黃河流域的漢族，與其他邊疆民族不斷融合所形成的一個民族。「中華民族」的簡省。
中華民族 , 普通名詞。發源於黃河流域的漢族，與其他邊疆民族不斷融合所形成的一個民族。
中葉 , 時間詞。較長時期的三個分段中中間的一段，通常用於世紀或朝代。
中視 , 地方詞。中國電視公司的建築物及建築物所在的位置。「中國電視公司」的簡省。
中視 , 普通名詞。中國電視公司所擁有的頻道。「中國電視公司」的簡省。
中視 , 普通名詞。臺灣無線電視網之一，由中國國民黨創立。「中國電視公司」的簡省。
中途 , 地方詞。離開起點尚未到終點的地方。
中途 , 時間詞。在事件進行中。
中間 , 一物兩端之間的部份。
中間 , 位置詞。等級在兩端之間的位置。
中間 , 兩參考點之間的範圍。
丰 , 專有名詞。詩經鄭風中的一篇。
丰 , 形容種類多且數量大。
丰 , 普通名詞。美好的容貌、姿態。
丰采 , 普通名詞。美好的氣質或魅力。
串 , 到後述地點與特定對象聊天。
串 , 在戲劇表演中擔任戲份少的角色。
串 , 多個不同的特定地點之間移動。
串 , 將較小的語言表意單位連貫成後述較大的表意單位。
串 , 後述對象間產生不正常的連結。
串 , 普通名詞。接尾詞。多個前述文字或符號組成的整體。
串 , 普通名詞。接尾詞。附著在同一長條上的多個對象形成的整體。
串 , 比喻使兩個以上的特定對象產生關聯。
串 , 準量詞。計算多個在短時間內發生的同類事件的單位。
串 , 準量詞。計算多個與主事者有相同關係的人的單位。
串 , 用長條物體穿過多個分開的對象，使其成為一個整體。
串 , 計算同一枝上同時生長多個果實的水果的單位。
串 , 計算多個同類對象串連成一個整體的物體的單位。
串 , 計算多個對象排列成長條形的物體的單位。
丸 , 專有名詞。接尾詞。用於大型船隻的名稱。
丸 , 普通名詞。體積小的球狀物或接近球狀物的物體。常用接尾詞。
