e04 , 形容極度不悅。 , 去年 除夕 現在 第一 次 發燒 ， 心裡 超 < 幹 > ！ 沒破 一年 生病 紀錄 ！
一如 , 引介與前述事物有高相似度的後述事物作為譬喻。 , 生命 < 一如 > 「 淵 」 ， 深不可測 。
一如 , 形容真如法性之妙理平等無差別。 , 覺是 覺悟 ， 體悟 天下 眾生 本性 < 一如 > ， 叫做 大 。
一定 , 形容不會改變的。 , 文章 深淺 篇幅 長短 < 一定 > 關係 。
一定 , 形容特別指出的。 , < 一定 > 文化 < 一定 > 社會 政治 經濟 反映 。
一定 , 形容程度頗高的，常與「有」連用。 , 清黨 委員會 審判 委員會 主席 ， 中央 軍人 監獄長 等職 ， 位 < 一定 > 影響 國民黨 元老 。
一定 , 普通名詞。明確的規定。 , 受刑人 天 工作 幾 小時 ， 學習 幾 小時 ， 休息 幾 小時 ， < 一定 > 。
一定 , 表對推論的肯定，沒有例外。 , 倘然 辭了 ， 跑到 香港 ， < 一定 > 人 恥笑 ， 不如 罷 。
一家子 , 代指一個家庭中的所有成員。 , 原生 自 兒歌 裡 描述 幸福 家庭 ， 父親 成功 貿易商 ， < 一家子 > 衣食 無缺 。
一 , 專有名詞。姓。 , 寧波 < > 主任 犯 「 公司 企業 人員 受賄 罪 」 判刑 十三年 。
一帶 , 位置詞。特定地點及與其相連的地區。 , 據 當地人 講 ， < 一帶 > 茶園 聞名遐邇 龍井 上品 獅峰 龍井 。
一 , 序數。順序排在第一。 , 環境 保護 理論 實證 經濟 分析 探討 ： < > 、 全球 氣候 變遷 政策 ； 二 、 水 污染 損害 。
一度 , 表曾經有過一次。 , 台灣 電影 開放 大陸 取景 前 ， < 一度 > 敏感 人物 。
一律 , 形容相同的。 , 多少 年 過去 ， 輿論 < 一律 > 中國 ， 書 問世 ， 劇 登台 ， 碑 更 豎起 。
一律 , 表後述的條件適用全體，沒有例外。 , 日本 百貨公司 、 電車 、 汽車 車廂 < 一律 > 禁煙 。
一心一意 , 表投入所有的心思，毫無保留。 , 知道 亡國 恥辱 ， < 一心一意 > 雪恥 復國 ， 刻苦 自勵 。
一心 , 表投入所有的心思，毫無保留。 , 期望 過高 壓力 太大 ， < 一心 > 子女 上 台大 的話 ， 小心 引起 什麼 精神官能症 ！
一心 , 表有共同理念。 , 危機 ， 軍民 同胞 團結 < 一心 > ， 鞏固 領導 中心 。
一手 , 形容原始的。 , 車行 惡性 倒閉 < 一手 > 車行 二手 車行 發生 糾紛 時 ， 靠行 司機 車賣 。
一手 , 普通名詞。方法、手段。 , 來 < 一手 > 。
一手 , 普通名詞。滿手。 , 人生 像是 一局 橋牌 ， 能夠 < 一手 > 爛牌 打到 最好 ， 成功 。
一手 , 普通名詞。與手相關的才藝。 , 家待 七年 光陰 ， 練出 < 一手 > 好菜 能幹 雙手 。
一手 , 表一個人單獨地。 , 婆婆 媳婦 ， 想清楚 ， 丈夫 < 一手 > 抱大 。
一手 , 表手部的一次迅速動作。 , 盯 手上 那本 雜誌 ， 想 < 一手 > 扯掉 。
一手 , 關聯連接詞。連接同時進行兩個事件。常用「一手…一手…」。 , 主席 提出 『 < 一手 > 抓 鋼鐵 、 < 一手 > 抓 農業 』 方針 ， 農民 神仙 ， 變不出 三頭六臂 。
一 , 數目字。整數，最小的正整數。 , 清秀 面龐 充滿 憂鬱 ， 長長 睫毛 下 < > 雙 黑白分明 眼睛 ， 笑影 。
一方面 , 關聯連接詞。連接同時進行的不同事件或觀點。常用「一方面…，一方面…」、「一方面….，另一方面…」。 , 天 收聽 當地 新聞 廣播 。 < 一方面 > 練習 英文 聽力 ， < 一方面 > 知道 不少 世界 大事 地方 新聞 。
一旁 , 表靠近參考點的地方。 , 小孫子 走到 一旁 兒童 遊戲區 玩耍 ， < 一旁 > 看 。
一旦 , 關聯連接詞。連接假設事件，做為時間條件。 , 語言 < 一旦 > 消失 ， 民族 文化 伴隨 。
一早 , 表天亮之後，早晨的前半段。 , 經過 好幾 次 辛苦 預演 ， 國慶日 < 一早 > ， 上場 。
一昧 , 表專注於後述事件而忽略其他方面，通常隱含負面含意。 , 主政 者 不知 何故 地 不擇手段 < 一昧 > 追求 快 。
一 , 普通名詞。一直線所呈現出的一字形狀。 , 眉毛 < > 字眉 兩道 眉毛 連在一起 鼻樑 上方 兩 眉 之間 印堂 長有 雜毛 ！
一概 , 表適用於全體，沒有例外。 , 董仲舒 向 武帝 建議 除了 六經 孔子 學說 以外 ， 其他 各家 < 一概 > 禁止 。
一模一樣 , 形容比較的對象完全相同。 , 兩 男孩 雙胞胎 ， 兄弟 長 < 一模一樣 > 。
一樣 , 形容沒有差別的。 , 當兵 時 整齊 ， 所有人 動作 完全 < 一樣 > 。
一樣 , 表處於相同的狀況。 , 強暴 當然 錯誤 ， ， 父母 逼迫 結婚 < 一樣 > 錯誤 。
一無所知 , 完全沒有訊息或知識。 , 保固 公司 發言人 表示 ， 有關 證管會 決定 迄 昨 < 一無所知 > 。
一生 , 普通名詞。從出生到死亡的時間。 , 貝多芬 執著於 巴哈 音樂 純淨 ， 或許 貝多芬 < 一生 > 都作 不出 任何 感人 作品 。
一直 , 表不改變方向向後述目的地運動。 , 不由自主 地 < 一直 > 向 月亮 奔去 。
一直 , 表事件持續不間斷。 , 這位 老兄 不知 哪裡 起毛 ， < 一直 > 開門 關門 開門 關門 。
一直 , 表事件狀態由前述描述發展到後述描述。常與「到」連用。 , 十 法界 即是 從佛 境界 < 一直 > 地獄 、 餓鬼 、 畜生 等 境界 。
一直 , 表在後述時點前事件沒有改變。常與「到」連用。 , 佛陀 教化 < 一直 > 延伸到 現在 ， 過去 祖師 所有 法師 ， 一樣 遵循 佛陀 教法 。
一直 , 表狀態從過去持續到參考時點，強調其狀態沒有改變過。 , 三毛 父親 ： 三毛 < 一直 > 寂寞 。
一致 , 形容相同的。 , 部份 銀行 準備 申請 文件 時 匆忙 草率 ， 以致 出現 資料 前後 < 一致 > 錯誤 。
一舉 , 表在一次事件中同時完成。 , 二 年前 十六 家新 銀行 < 一舉 > 開放 ， 求才若渴 。
一舉 , 表由第一次行動中完成。 , 今年 東河 國小 創校 以來 第一 次 參加 臺灣區 民族 舞蹈 比賽 ， < 一舉 > 便 奪得 國小 民俗舞組 決賽 優等 第二 名 。
一般來說 , 句副詞。表在通常的情況下。 , 家中 幼童 ， 更得 注意 隨 抓 亂吃 習性 。 < 一般來說 > ， 枝幹 折斷 後會 流出 汁液 植物 ， 通常 具 毒性 。
一般 , 引用前述事件作為隱喻來描述。 , 時間 飛 < 一般 > 過去 。
一般 , 形容一種、一番。 , 艾氏 「 教育 大學 建築 」 主題 上 ， 寫下 < 一般 > 看法 ： 「 認為 大學 最 重要 ， 普及 知識 。 」
一般 , 形容在同類事物中不是特別或專門的。 , 徵收 屬 土地 強制 移轉 行為 ， 屬於 < 一般 > 買賣 。
一般 , 形容程度和同類對象沒有明顯差異的。 , 長相 < 一般 > 演技 不錯 實力派 演員 。
一般而言 , 句副詞。表在通常的情況下。 , 鈣質 使 身體 維持 正常 弱鹼性 體質 。 < 一般而言 > ， 人 體質 呈現 酸性 ， 腦部 較易 感到 疲勞 。
一般 , 表特定事件發生的比例高。 , < 一般 > 說來 隻 鴨子 兩到 三 月 長成 。
一 , 表不正式做特定動作。常用「…一…」。 , 這裡 ， 我想談 < > 談 幾家 票號 歷史 上 發生 一些 愉快 人事 糾紛 。
一 , 表另外。 , 陳淑均 修 噶瑪蘭廳志 引 爾雅 郭璞 註謂 ： 「 似 蝙蝠 ， 肉翅 ， 飛且 乳 ， < > 名 飛生 。 」
一 , 表完成後述動作後，緊接著發生相關事件結果。 , < > 想到 那件 事 ， 總是 笑 不停 。
一 , 表後述動作的完整性。 , 吳 師爺 < > 問 ， 所有 聽 人 緊張 起來 。
一視同仁 , 平等對待前述的對象。 , 支持 嚴格 查賄 ， 希望 檢調 所有 候選人 ， < 一視同仁 > 。
一言以蔽之 , 句副詞。表用一句話來概括。 , 災難 大 什麼 程度 ？ < 一言以蔽之 > ， 到處 餓死 倒斃 路邊 人 。
一貫 , 形容依照一定法則，從不改變的。 , 北京 故宮 < 一貫 > 清式 家具 之外 ， 開始 黃 花梨 家具 庫房 中 搬出來 亮相 。
一起 , 普通名詞。同一團體。 , 那人 突然 回過頭來 ， 喝道 ： 「 < 一起 > ， 是不是 ？ 安排 詭計 ， 想騙 上當 。 」
一起 , 表不同的主體在同一空間或進行同一事件。 , 明天 字典 課堂 上發 練習 講義 < 一起 > 帶給 。
一起 , 表在同一個處所。 , 狗 人類 < 一起 > 生活 數千 年 ， 狗狗 眼中 人類 視為 最好 朋友 。
一路上 , 表事件的整個過程，自始至終。 , 從小 現在 < 一路上 > 總有 很多 朋友 陪 成長 ， 永遠 珍藏 。
一路上 , 表整個路程。 , 鬼故事 講得 活龍活現 。 < 一路上 > 興奮 ， 聽越 恐懼 。
一路 , 表事件發生涵蓋整個路程。 , 朋友 送 上 飛機 ， ： 再見 ！ < 一路 > 平安 ！
一路 , 表事件的整個過程，方向或特性沒有改變。 , 想 求學 如搭 順風車 ， < 一路 > 滑向 研究所 ， 遭遇 過大 挫折 。
一連串 , 形容多個同類事件在短時間內發生。 , 除了 政治 風險 考量 ， 大陸 最近 實施 < 一連串 > 經濟 措施 ， 降低 台商 投資 興趣 。
一連 , 表同一事件在後述時段中持續發生。 , 項 展示會 < 一連 > 展出 五天 ， 五月 十四日 落幕 。
一連 , 表類似事件緊接著發生。 , 梁書瑋 用 拖鞋 擲筊 ， < 一連 > 丟 幾 次 一正 反 。
一邊 , 表不被重視的事情。 , 工作 繁忙 ， 女朋友 婚事 ， 只能 先放 < 一邊 > 。
一邊 , 表同時進行兩個動作。常用「一邊…一邊…」。 , 記得 次 ， < 一邊 > 做飯 < 一邊 > 唱歌 ， 竟然 婆婆 罵 。
一邊 , 表靠近參考點的地方。 , 魚頭 魚尾 切 下來 之後 ， 放在 < 一邊 > 備用 。
一面倒 , 形容局勢完全對其中的一方有利。 , 男子 雙打 呈現 < 一面倒 > ， 西迪 兄弟 十五 比五 ， 十五 比三 輕鬆 淘汰 松野修二 。
一面 , 表同時進行兩個動作。常用「一面…一面…」。 , 驪山 離宮 裡 ， < 一面 > 飲酒 ， < 一面 > 談話 。
一點兒 , 極少，常與否定詞連用，為完全、全部的意思。 , < 一點兒 > 不餓 ， 什麼 想 吃 。
一點兒 , 表不確定的小數量。 , 這兒 胡椒粉 ， 要不要 放 < 一點兒 > ﹖
一點 , 極少，常與否定詞連用，為完全、全部的意思。 , 華輝 道 ： < 一點 > 笨 ， 可說是 聰明 得很 。
一點 , 表不確定的小數量。 , 納采 男家 向 女家 送 < 一點 > 小 禮物 。
一點 , 表程度輕微，常接在形容詞之後。 , 咖啡 稍微 苦澀 < 一點 > ， ， 咖啡豆 錯 。
一點點 , 表不確定的小數量。 , 哭 ， 沒有用 ！ 何不 身上 留 < 一點點 > 錢 ， 好了 嘛 ！
丁 , 代指沒有指名的對象中的第四個。 , 當 好人 < 丁 > 比當 好人 甲 、 好人 乙 、 好人 丙 還要 更慘 ！
丁 , 同類事物中等級排在第四的。 , 特殊 需要 舉行 特種 考試 ， 特考 分甲 、 乙 、 丙 、 < 丁 > 四 等 。
丁 , 同類事物中順序排在第四的。 , < 丁 > 班 大家 好 ， 丙班 林卓君 ， 多多 指教 ！
丁 , 專有名詞。姓。 , 上 星期六 ， < 丁 > 伯伯 來家 裡 玩 ， 送 一本 兒童 詩集 。
丁年 , 普通名詞。人一生中最壯盛的時期。 , 十幾 歲 < 丁年 > 期想 脫離 父母 權威 控制 ， 知道 父母 所要 ， 清楚 究竟 什麼 。
丁 , 普通名詞。五等第中，成績第四的一等。 , 即便 取消 戊等 ， 拿到 < 丁 > 小朋友 ， 免不了 心情 低落 。
丁 , 普通名詞。人一生中最壯盛的時期。 , 個人 究竟 歲 歲 丁年 ？ 歷史 上 有沒有 統一 規定 ？ 。 古代 四十 曰 < 丁 > 。 隋代 二十一 歲 < 丁 > ， 唐代 天寶 年間 定為 二十三 歲 。
丁 , 普通名詞。兩條直線垂直而不相交所呈現出的丁字形狀。 , 謝明良 認為 ， 紋飾 「 < 丁 > 」 字來 判斷 年代 有些 牽強 。
丁 , 普通名詞。切成小方塊的食材。常用接尾詞。 , 橄欖油 熱鍋 ， 加入 蔥爆 香 ， 放 豬肉 絲 ， 炒熟 後 ， 加入 切成 < 丁 > 紅蘿蔔 、 木耳 ， 麵 加入 鍋 中 炒 ， 道 香噴噴 炒麵 。
丁 , 普通名詞。天干的第四位。 , < 丁 > 卯年 農曆 兔年 ， 這年 出生 人 屬兔 。
丁 , 普通名詞。成年男子。 , 晉書 ˙ 卷 九十八 ˙ 王敦傳 ： 其單 < 丁 > 軍無有 兼 重者 ， 皆遣 歸家 ， 終身 不調 。
丁 , 普通名詞。接尾詞。從事前述勞動工作的男子。 , 莊子 裡 最 有名 故事 「 庖 < 丁 > 解牛 」 。
丁 , 普通名詞。方形的小布塊。 , 一身 衣褲 上 數不清 補過 < 丁 > 。
七 , 序數。順序排在第七。 , 全校 間 便利商店 實在 太少 ， 對於 < 七 > 棟 學生 而言 ， 實在 太 方便 ， 希望 學校 在校 開一間 。
七 , 數目字。整數，為六加一的和。 , 品質 大師 戴明 博士 品質 管理 < 七 > 大 要項 裡 強調 「 人力 資源 發展 管理 」 。
七早八早 , 表時間相當早。 , 早點 申請 ， 演唱會 那天 < 七早八早 > 去排 ， 結果 還不是 後面 !
万 , 數目字。整數，千的十倍。 , 郭冠英遭 免職 ， 460 < 万 > 退休金 飛了 。
万 , 普通名詞。麻將中的牌面，為序數牌之一。 , 123 < 万 > 子 、 筒子 、 條子 ， 搭配 其他 排種 胡牌 三色 同順 。
万 , 表次數多。 , 千 拜託 < 万 > 拜託 心娃 主治 大夫 答應 來 心娃 檢查 眼睛 。
万 , 表絕對。 , 這事 請 大人 三思 ， < 万 > 小女子 而損 大人 名望 。
丈夫 , 普通名詞。女子在婚姻關係中的配偶。 , 做 < 丈夫 > 責任 保護 妻子 。
丈夫 , 普通名詞。對女子在婚姻關係中的配偶的指稱。 , 注意到 天起 ， < 丈夫 > 一直 欣賞 一點 。
丈 , 普通名詞。長度的單位，市制一丈等於十尺。 , 魔以 < 丈 > 算 ， 道以 尺算 。
丈 , 測量土地面積。 , 春耕 前要 地 < 丈 > 完 。
丈 , 計算長度的單位，市制一丈等於十尺。 , 雙方 剛 接近 ， 立刻 濺起 好幾 < 丈 > 高 水花 。
三 , 專有名詞。姓。 , 大同 區公所 位姓 < 三 > 正風 室 主任 姓 < 三 > ， 至今 娶 不到 老婆 ， 人 願意 當 「 < 三 > 太太 」 。
三 , 序數，順序排在第三。 , 其實 並非 矯情 ， 謙虛 說法 ， 而是 定義 下 ， 確實 < 三 > 流 作家 。
三 , 數目字，整數，為二加一的和。 , 副分局長 顏健華 指揮 下 ， 立即 出動 < 三 > 輛 水箱車 、 卅餘 名 消防 義警 前往 灌救 。
三 , 表眾多。 , 舉凡 生活 瑣事 ， 總是 一而再 、 < 三 > 地 重複 叮嚀 。
三鐵 , 普通名詞。臺灣鐵路、臺灣高鐵和捷運交通運輸系統的統稱。 , 承諾 當選 市長 ， 一定 會 高雄 < 三鐵 > 暢通 。
三鐵 , 普通名詞。鉛球、標槍和鐵餅三項田賽項目的總稱。 , 吳 錦雲 昔日 享有 「 < 三鐵 > 皇后 」 美譽 ， 人人 暱稱 「 吳 媽媽 」 。
三鐵 , 普通名詞。體育競賽項目之一，參加者通常必須依序進行游泳、騎自行車與馬拉松三項比賽。 , 小岡 < 三鐵 > 路跑 界 算是 響叮噹 人物 。
上 , 事件或時間順序在參考點之前。 , 妳 好 ， 請問 貴 公司 < 上 > 次 網球拍 報價 有效 ﹖
上 , 事物分成兩部份或三部份時，開頭的部份。 , 有人 主張 國中 分流 提早到 國二 下 學期 ， 甚至 國二 < 上 > 學期 開始 實施 。
上 , 以前述事物為對象。 , 大 企業 遭遇 問題 ， 第二 波 會 直接 反映到 中小企業 身 < 上 > 。
上 , 估計到了一定的數量。 , 看到 那兒 集中 < 上 > 千人 ， 毀掉 現成 油茶林 、 松林 ， 開 什麼 花果山 。
上 , 位置詞。事件的發生在前述事物的範圍內。 , 荊軻 堅定 決心 ， 生死 早不放 心 < 上 > 。
上 , 位置詞。以前述事物為主題的範圍。 , 蟋蟀 昆蟲 分類 < 上 > 屬於 直翅目 中 蟋蟀科 。
上 , 位置詞。前述物體的表面。 , 臉 < 上 > 雨水 未乾 ， 點點 鬍髭 洩漏 連日 辛勞 。
上 , 位置詞。同一物體內較高的部份。 , 整個 柱式 自下 < 上 > 分為 台座 、 柱礎 、 柱身 、 柱頸 、 柱頭 等 部分 。
上 , 位置詞。比喻地位或等級較高的人物。 , 家庭 下 < 上 > ， < 上 > 對下 ， 平行 關係 ， 兄友弟恭 。
上 , 位置詞。比喻數量較多的方向。 , 以及 中國大陸 越南 投資 ， 使得 三洋 業績 更 向 < 上 > 翻升 。
上 , 位置詞。比喻程度較高的方向。 , 認為 老師 講 ， 我會 按照 做 ， 我會 向 < 上 > 努力 。
上 , 位置詞。比喻階級架構較高的方向。 , 不論 研究 學問 ， 做人 做 事 ， 永遠 努力 向 < 上 > ， 追求 理想 。
上 , 位置詞。比喻順序較前的方向。 , 台塑 六輕 往 < 上 > 整合 ， 中油 朝下 結盟 。
上 , 位置詞。順序在參考點之前的文本。 , 表演 參觀 項目 ， 內容 十分 豐富 。 門票 開放 時間 同 < 上 > 。
上 , 做階層較高的工作。 , 早 力爭上游 ， 離開 不上不下 尷尬 處境 。 苦 < 上 > ， 下 人們 。
上 , 到了一定的標準或數量。 , 看見 < 上 > 年紀 太太 ， 同是 老年人 ， 希望 好 相處 。
上 , 到後述處所進行該場所的典型活動。 , < 上 > 漁船 打魚 比 < 上 > 貨船 工作 待遇 要好 得多 。
上 , 加在表面或接觸面。 , 東尼 右手 < 上 > 石膏 ， 醫院 回來 。
上 , 動物排泄糞便或尿液。 , 孩子 多久 會 < 上 > 次 小便 ， 一天 何時 孩子 解 大便 時間 ？ 大人 心裏 應有 底
上去 , 往高處移動。 , 本來 < 上去 > 高塔 ， 沒想到 爬到 一半 ， 臉色 鐵青 下來 。
上去 , 置於動詞之後，表示進行前述具有趨向性的動作。 , 一寸方士 看到 螞蟻 所 小河 ， 拿下 頭 上 那頂 碗 做成 帽子 ， 碗 當成 小船 ， 乘了 < 上去 > 。
上台 , 出任職務或掌權。 , 此外 ， 企業界 本來 以為 < 上台 > 後 ， 會 快 依照 業界 期望 開始 「 三通 」 。
上台 , 進行表演或演講。 , 年輕 時 < 上台 > 票戲 唱 青衣 ， 跟著 工作 單位 四處 勞軍 。
上天 , 普通名詞。人類相信能夠控制自然界或人類命運的主宰者。 , 不禁 虔誠 感謝 < 上天 > 賜給 機會 。
上 , 學生在特定學校系統修習特定課程。 , 孩童 們 趕著 玩 遊戲 ， 人 趕著 < 上 > 才藝班 。
上學 , 進入特定學校系統開始接受教育。 , ∥ 右平 ， 幾 歲 ？ < 上學 > ？ ∥
上 , 安裝關鍵零件。 , 車爾庫 道 ： 「 惡賊 裡面 < 上 > 閂 。 」
上 , 將文件送到等級較高的人或單位。 , 諸如 嚴復 震赫 一時 「 < 上 > 清帝 五書 」 ， 以及 中國 思想界 具有 衝擊性 「 天演論 」 。
上山 , 從山的低處向高處移動。 , 警方 林務局 火警 發生 後 ， 立即 動員 大 批 人員 < 上山 > 進行 搶救 。
上山 , 蠶吐絲作繭。 , 蠶 < 上山 > 之後 ， 全家 靜默 守護 ， 那時 不許 小孩子 們 噪了 ， 暫時 感到 沉悶 。 然過 幾天 要采繭 ， 做絲 ， 熱鬧 空氣 濃 起來 。
上市 , 前往提供商品買賣的市場。 , 老萬派 專人 < 上市 > 賣菜 ， 錢 ， 除分些 出力 村民 ， 交到 村裡 。
上 , 往北或接近中心移動。 , 台鐵 除 < 上 > 下 通勤 列車 照常 開行 ， 預定 採 兩 階段 停開 措施 。
上 , 從球場或舞台出場。 , 三 球季 一共 < 上 > 過 一七八 場 ， 二二四九 分鐘 。
上 , 按前述事物的觀點來陳述。 , 如今 改名為 錦屏 ， 村民 習慣 < 上 > 稱 「 那羅 」 。
上 , 按規定的時間工作。 , 同樣 ， < 上 > 大夜班 時 會 照料 家 。
上旬 , 時間詞。一個月前面的十天。 , 今年 百貨業 秋裝 最遲 本月 < 上旬 > 即會 全部 上市 。
上 , 時態標記。表達到一定的結果或目的，為結果補語。 , 時候 家鄉 通 < 上 > 電 ， 照明 需用 煤油燈 。
上 , 普通名詞。專指現代漢語標準語裡的第三聲。「上聲」的簡省。 , 曲調 高低 升降 字調 陰陽 < 上 > 這四聲 走向 基本 一致 。
上 , 普通名詞。漢語方言中，上揚的聲調。「上聲」的簡省。 , 台灣話 除了 平 、 < 上 > 、 、 輕聲 ， 入聲 ！
上 , 書信的結尾辭。 , 畢竟 心靈 原是 純潔 如 白紙 ！ 焦急 媽媽 < 上 > 。
上 , 比喻靈性存在物在後述對象體內控制其言語或行為。 , 將軍 < 上 > 身 ， 講話 將軍 ， 本人 。
上海 , 地方詞。中國城市名，位於東部沿海的港口，有東方明珠之稱。 , < 上海 > 樓 矮 ， 紐約 高 。
上海 , 專有名詞。治理上海的地方政府。 , < 上海 > 宣佈 建立 城市 臭氧 預警 系統 ， 最快 2010 年 啟用 。
上海 , 普通名詞。上海的文化。 , < 上海 > 菜 清新 秀美 ， 溫文爾雅 ， 同時 吸收 外來 文化 ， 不斷 創新 。
上班 , 從事有固定工作時段的工作。 , 這款 遊戲 大概 很多 玩家 < 上班 > 五 六年級生 ， 遊戲 中 設計 防 老闆 裝置 。
上 , 登載在媒體或公告上。 , 美國 難有 機會 < 上 > 鏡頭 ， 次 機會 ， 為什麼 試試 ﹖
上 , 等級或質量最高的。 , 靈芝 列為 < 上 > 藥中 極品 ， 地位 高於 人參 。
上 , 老師在特定學校系統教授特定課程。 , 次 體育課 < 上 > 摔角 ， 老師 要求 對打 。
上臺 , 出任職務或掌權。 , 雅虎 新 CEO 塞 梅爾 < 上臺 > 後 ， 企圖 奪回 昔日 " 搜索 之王 " 地位 。
上臺 , 進行表演或演講。 , 開學 第一 天 ， 楊 校長 < 上臺 > 談 用心 重要 。
上 , 與特定對象進行性行為。 , 現在 多數 年輕人 懂得 炫燿 自已 < 上 > 過 幾 女人 。 什麼 好炫燿 . . . 白痴 一樣 。
上船 , 進入船上，通常指搭乘該交通工具。 , 高雄 港警所 屆時 會同 檢方 < 上船 > 蒐證 ， 了解 案發 經過 尋找 凶刀 。
上船 , 開始從事固定在船上的工作。 , 船員 供述 來看 ， 不少 船員 第一 次 < 上船 > ， 了解 船上 作息 環境 。
上 , 轉緊發條。 , < 上 > 過 發條 皮諾丘 舉止 ， 刻劃 生動 趣味 。
上述 , 普通名詞。文章或談話中所敘述過的內容。 , 蕭萬長 表示 ， < 上述 > 原則 下 ， 目前 講 七輕 早 ， 需要 進一步 評估 。
上 , 連結並使用網路。 , 種 軟體 使用者 < 上 > 網路 ， 別人 進不來 電腦 。
上 , 進入特定學校系統開始接受教育。 , 妹妹 翔翔 四 歲 ， 剛 < 上 > 中 班 ， 老師 可愛 。
上進 , 形容自己求進步的。 , 橫逆 慘痛 失敗 ， 更 激發 < 上進 > 意念 ， 終獲 永久 成功 。
上 , 達到評量標準而獲得錄取。 , 考上 平均 ， 考三門 功課 ， 平均 九十幾 分 才能 < 上 > 。
上 , 開始進行有競爭的活動。 , 忽然間 起 自暴自棄 念頭 ， 叫道 ： 「 殺死 好了 ！ 」 縱身 < 上 > 。
上面 , 位置詞。事件的發生在前述事物的範圍內。 , 感情 < 上面 > 遇到 挫折 好 轉過來 ？
上面 , 位置詞。以前述事物為主題的範圍。 , 兒童 聽障 分類 < 上面 > ， 目前 無 統一 標準 。
上面 , 位置詞。以前述事物為對象。 , 公司 營運 實力 最終 都會 反映到 股價 < 上面 > 。
上面 , 位置詞。前述物體的表面。 , 塊 璧玉 < 上面 > 幾 斑點 ， 您 看見 ？
